transaction_id,bill_id,date,store_id,store_location,customer_id,customer_segment,product_id,product_category,product_name,quantity,unit_price,payment_method,discount_applied,channel
TXN-2025-0001,BILL-1001,2025-01-01,S1,Downtown,C001,Regular,P101,Beverages,Orange Juice 1L,2,3.5,Credit Card,0.5,In-store
TXN-2025-0002,BILL-1001,2025-01-01,S1,Downtown,C001,Regular,P205,Snacks,Potato Chips,3,1.2,Credit Card,0.0,In-store
TXN-2025-0003,BILL-1002,2025-01-01,S2,Suburban,C002,Loyal,P301,Personal Care,Shampoo 250ml,1,4.0,UPI,1.0,Online
TXN-2025-0004,BILL-1003,2025-01-01,S3,Uptown,C003,New,P102,Beverages,Green Tea Box,1,5.0,Cash,0.0,In-store
TXN-2025-0005,BILL-1003,2025-01-01,S3,Uptown,C003,New,P210,Snacks,Chocolate Bar,4,1.5,Cash,0.0,In-store
TXN-2025-0006,BILL-1004,2025-01-01,S4,Business District,C004,Regular,P401,Household,Detergent 1kg,1,6.5,UPI,0.5,Online
TXN-2025-0007,BILL-1005,2025-01-02,S1,Downtown,C005,Loyal,P501,Produce,Fresh Apples 1kg,2,3.0,Credit Card,0.0,In-store
TXN-2025-0008,BILL-1005,2025-01-02,S1,Downtown,C005,Loyal,P205,Snacks,Potato Chips,1,1.2,Credit Card,0.0,In-store
TXN-2025-0009,BILL-1006,2025-01-02,S2,Suburban,C006,Regular,P302,Personal Care,Body Lotion 200ml,1,4.5,UPI,0.5,Online
TXN-2025-0010,BILL-1007,2025-01-02,S3,Uptown,C007,New,P103,Beverages,Cola 500ml,3,1.0,Cash,0.0,In-store
TXN-2025-0011,BILL-1007,2025-01-02,S3,Uptown,C007,New,P210,Snacks,Chocolate Bar,2,1.5,Cash,0.0,In-store
TXN-2025-0012,BILL-1008,2025-01-02,S4,Business District,C008,Regular,P601,Bakery,Whole Wheat Bread,1,2.5,Credit Card,0.0,Online
TXN-2025-0013,BILL-1009,2025-01-03,S1,Downtown,C009,Loyal,P701,Frozen,Frozen Pizza,1,6.0,UPI,1.0,Online
TXN-2025-0014,BILL-1009,2025-01-03,S1,Downtown,C009,Loyal,P205,Snacks,Potato Chips,2,1.2,UPI,0.0,Online
TXN-2025-0015,BILL-1010,2025-01-03,S2,Suburban,C010,Regular,P101,Beverages,Orange Juice 1L,1,3.5,Credit Card,0.0,In-store
TXN-2025-0016,BILL-1011,2025-01-03,S3,Uptown,C011,New,P501,Produce,Fresh Apples 1kg,1,3.0,Cash,0.0,In-store
TXN-2025-0017,BILL-1011,2025-01-03,S3,Uptown,C011,New,P602,Bakery,Croissant Pack,1,3.0,Cash,0.0,In-store
